;;;ML VELHA;;ML NOVA;;;;B2B - 1;B2B - 2;B2B - 3
;;100%;100%;95%;100%;95%;;B2C;15%;20%;30%
SKU;Descrição do Produto;Preço VTEX;Premium;Clássico;Premium;Clássico;Maior Preço;Menor Preço;Desconto;Desconto;Desconto
ACATR01;Kit de aterramento de motor (roxo); R$ 59.755,00 ;  ;  ;  ;  ; R$ 59.755,00 ; R$ 59.755,00 ; R$ 50.791,75 ; R$ 47.804,00 ; R$ 41.828,50 
ACAV01BK;Par de manivelas esportivas para vidro - Universal em alumínio billet; R$ 150.955,00 ; R$ 158,90 ;  ;  ;  ; R$ 150.955,00 ; R$ 158,90 ; R$ 135,07 ; R$ 127,12 ; R$ 111,23 
ACAV01BK.;Par de manivelas esportivas para vidro - Universal em alumínio billet; R$ 119.605,00 ;  ;  ;  ;  ; R$ 119.605,00 ; R$ 119.605,00 ; R$ 101.664,25 ; R$ 95.684,00 ; R$ 83.723,50 
ACAV01BL;Par de manivelas esportivas para vidro - Universal em alumínio billet; R$ 151.905,00 ; R$ 158,90 ;  ; R$ 159,90 ;  ; R$ 151.905,00 ; R$ 158,90 ; R$ 135,07 ; R$ 127,12 ; R$ 111,23 
ACAV01BL.;Par de manivelas esportivas para vidro - Universal em alumínio billet; R$ 119.605,00 ;  ;  ;  ;  ; R$ 119.605,00 ; R$ 119.605,00 ; R$ 101.664,25 ; R$ 95.684,00 ; R$ 83.723,50 
ACAV01RD;Par de manivelas esportivas para vidro - Universal em alumínio billet; R$ 150.955,00 ; R$ 158,90 ;  ;  ;  ; R$ 150.955,00 ; R$ 158,90 ; R$ 135,07 ; R$ 127,12 ; R$ 111,23 
ACAV01RD.;Par de manivelas esportivas para vidro - Universal em alumínio billet; R$ 119.605,00 ;  ;  ;  ;  ; R$ 119.605,00 ; R$ 119.605,00 ; R$ 101.664,25 ; R$ 95.684,00 ; R$ 83.723,50 
ACAV01SL;Par de manivelas esportivas para vidro - Universal em alumínio billet; R$ 150.955,00 ; R$ 158,90 ;  ;  ;  ; R$ 150.955,00 ; R$ 158,90 ; R$ 135,07 ; R$ 127,12 ; R$ 111,23 
ACAV01SL.;Par de manivelas esportivas para vidro - Universal em alumínio billet; R$ 119.605,00 ;  ;  ;  ;  ; R$ 119.605,00 ; R$ 119.605,00 ; R$ 101.664,25 ; R$ 95.684,00 ; R$ 83.723,50 
ACAV03;Par de manivelas esportivas para vidro - Parafusada - Para  Fusca / Kombi / Brasília / TL; R$ 171.855,00 ; R$ 180,90 ; R$ 171,86 ; R$ 180,90 ;  ; R$ 171.855,00 ; R$ 171,86 ; R$ 146,08 ; R$ 137,49 ; R$ 120,30 
